INDEPENDENT STUDY                                  ,PYS300,"",3,0,3,0
INTERNATIONAL ECONOMIC POLICY                      ,MSL896,PE,3,3,0,0
INTRODUCTION TO ECONOMICS                          ,HUL211B,HU,4,3,1,0
QUALITY AND SAFETY IN CONSTRUC                     ,CVL874,"",3,3,0,0
LAB IV                                             ,CMP522,"",2,0,0,4
ROCK MECHANICS LABORATORY II                       ,CVP810,"",3,0,0,6
BIOMAS PRODUCTION                                  ,RDL700,OE,3,3,0,0
ELECTRONICS AND CONTROLS FOR TEXTILEINDUSTRY       ,TXL771,PE,4,3,0,2
ELECTRIC DRIVES                                    ,ELL332,"",3,3,0,0
MSR PROJECT                                        ,COD895,"",36,0,0,72
SENSOR ARRAY SIGNAL PROCESSING                     ,CRL704,"",3,3,0,0
TECH. OF TEX. PRE. & FIN. LAB.                     ,TXP241,DC,1.5,0,0,3
MS RESEARCH PROJECT                                ,SBD895,"",40,0,0,80
AUTOMOTIVE SYSTEMS                                 ,MCL321,DE,4,3,0,2
ROCK ENGINEERING                                   ,CVL422,"",3,3,0,0
Major Project 2 ,BMD802,PC,12,0,0,24
DISPERSION OF AIR POLLUTANTS                       ,ASL751,"",3,3,0,0
SIMULATION LABORATORY I                            ,CVP730,"",1.5,0,0,3
SOIL MECHANICS LABORATORY                          ,CVP222,"",1,0,0,2
SPECIAL MODULE IN SYSTEM DESIGN                    ,MCV849,"",1,1,0,0
MATERIAL CHARACTERIZATION                          ,CML729,"",3,3,0,0
TECH. OF TEXT. PREPARATION & F                     ,TXL241,DC,3,3,0,0
SEMINAR IN CONSTRUCTION TECHNO                     ,CVC772,"",1,0,0,2
POWER ELECTRONICS LABORATORY                       ,ELP302,"",1.5,0,0,3
SEMINAR COURSE   III                               ,PYQ303,"",1,0,0,2
GROUP THEORY & ITS APPLICATION                     ,PYL743,"",3,3,0,0
INSTRUMENT TECHNOLOGY LABORATORY II                ,DSP704,PC,3,0,0,6
General Continuum Mechanics ,CVL863,"",3,3,0,0
ELECTRONIC PAYMENTS                                ,MSL878,PE,1.5,1.5,0,0
POWER ELECTRONIC CONVERTERS FO                     ,ELL759,"",3,3,0,0
B.TECH PROJECT PART 1                              ,COD492,"",6,0,0,12
MINOR DESIGN PROJECT VIII                          ,TXD358,"",2,0,0,4
B.TECH. PROJECT                                    ,MTD421,"",4,0,0,8
MAJOR PROJECT PART 2 (EI)                          ,EED854,"",16,0,0,32
STRUCTURAL ENGINEERING LAB                         ,CVP756,"",3,0,0,6
DISPLAY DEVICES & TECHNOLOGY                       ,DSL737,PE,3,3,0,0
INTRODUCTION TO COMBUSTION                         ,MCL343,"",3,3,0,0
STEEL DESIGN                                       ,CVL342,"",3,3,0,0
INSTRUMENTATION LABORATORY                         ,CMP728,"",3,0,0,6
APPLICATIONS OF P BLOCK ELEMEN                     ,CML738,"",3,3,0,0
ORGANIZATIONAL BEHAVIOUR                           ,HUL362,HU,3,3,0,0
"MAJOR PROJ. IN P.E, MOD. & OP.                     ",CLD414,DE,5,0,0,10
MAJOR PROJECT PART II                              ,JVD812,"",12,0,0,24
MIND                                               ,HUL381A,HU,3,3,0,0
ARCHITECTURES AND ALGORITHMS FOR DSP SYSTEMS       ,CRL702,PC,4,2,0,4
INDEPENDENT STUDY                                  ,SBS800,"",3,0,3,0
OPERATING SYSTEMS                                  ,COL331,"",5,3,0,4
STR. & FUNC. OF CELLULAR BIOM.                     ,CML526,"",3,3,0,0
ORGANIZATION AND PEOPLE MANAGEMENT                 ,MSL301,"",3,3,0,0
MAJOR PROJECT PART I (COMMUNIC                     ,ELD811,"",6,0,0,12
STATISTICAL MECHANICS                              ,PYL558,"",4,3,1,0
FINITE ELEMENT METHOD                              ,APL705,"",4,3,0,2
SEMINAR COURSE   II                                ,COQ302,"",1,0,0,2
RURAL INDIA AND PLANNING FOR DEVELOPMENT           ,RDL710,OE,3,3,0,0
PROJECT II                                         ,PYD562,"",6,0,0,12
SPL. MODULE IN ARTIFICIAL INT.                     ,COV884,"",1,1,0,0
DESIGNING WITH ADVANCE MATERIALS                   ,MCL730,"",4,3,0,2
MAJOR PROJECT PART I                               ,CRD811,PC,6,0,0,12
PROJECT I                                          ,PYD411,"",4,0,0,8
CURRENT AND EMERGING ISSUES IN FINANCE             ,MSL879,PE,3,3,0,0
MATERIAL REMOVAL PROCESSES                         ,MCL136,"",3,3,0,0
BIOMATERIALS                                       ,BML820,PE,3,3,0,0
POWER SYSTEMS PROTECTION                           ,ELL400,"",3,3,0,0
WATER RESOURCES SYSTEMS                            ,CVL833,"",3,3,0,0
PRODUCTION & OPERATIONS MGMT                       ,TXL782,PE,3,3,0,0
MAJOR PROJECT IN ENERGY & ENV.                     ,CLD412,DE,5,0,0,10
INSTRUMENTATION AND AUTOMATION                     ,CLL361,DC,2.5,1,0,3
INTRO. TO TRANSPORTATION ENGG.                     ,CVL261,"",3,3,0,0
MAJOR PROJECT PART 1 (BB5)                         ,BBD853,"",4,0,0,8
METROLOGY                                          ,MCL786,"",3,2,0,2
MEMBRANE APPLICATIONS IN BIO.                      ,BBL445,DE,3,3,0,0
Current and Emerging Issues in IT Management ,MSL859,PE,3,3,0,0
FLUID MECHS. FOR CHEM. ENGINEE                     ,CLL231,DC,4,3,1,0
TRANSPORTATION DESIGN                              ,DSR772,PE,3,2,0,2
IT CONSULTING AND PRACTICE                         ,MSL886,PE,3,3,0,0
APPLIED COMPUTATIONAL METHOD                       ,AML702,"",4,3,0,2
MECHANICS OF SPINNING MACHINES                     ,TXL725,PC,3,3,0,0
STRUCTURES & MATERIAL LAB                          ,CVP342,"",1,0,0,2
CONSTRUCTION ECONOMICS AND FI                      ,CVL775,"",3,3,0,0
QUANTUM OPTICS                                     ,PYL748,"",3,3,0,0
SELECTED TOPICS IN PHILOSOPHY                      ,HUL360,HU,3,3,0,0
MAJOR PROJECT PART II                              ,MCD862,"",12,0,0,24
GEOENVIRONMENTAL AND GEOTECHNICAL ENGINEERING LAB  ,CVP800,"",3,0,0,6
MODELING AND ANALYSIS                              ,APL774,"",3,3,0,0
CURRENT & EM. ISS. IN MA. MGMT                     ,MSL849,PE,3,3,0,0
Fundamentals of Weather and Climate ,ASL340,PC,3,3,0,0
EVALUATION OF TEXTILE MATERIAL                     ,TXL361,DC,3,3,0,0
STEAM AND GAS TURBINES                             ,MCL822,"",4,3,0,2
MAJOR PROJECT PART II                              ,AMD812,"",12,0,0,24
DYNAMICS OF MULTIBODY SYSTEMS                      ,MCL738,"DE,PE",3,2,0,2
MANUFACTURING PROCESSES I                          ,MCL131,"",3,3,0,0
MAJOR PROJECT PART 1 (CM)                          ,CHD873,PC,4,0,0,8
NETWORKS & SYSTEM SECURITY                         ,SIL765,"",4,3,0,2
SEMINAR COURSE   I                                 ,MCQ301,"",1,0,0,2
CMOS RF IC DESIGN                                  ,ELL833,"",3,3,0,0
SPECIALITY YARNS AND FABRICS                       ,TXL372,DC,2,2,0,0
INTRO. TO PARALLEL & DIS. PRO.                     ,COL380,"",3,2,0,2
Vehicle Dynamics ,MCL723,DE,3,3,0,0
PRACTICAL TRAINING                                 ,TTT410,"",0,0,0,0
STATISTICAL OPTICS                                 ,PYL762,"",3,3,0,0
POWER ENGINEERING I                                ,ELL303,"",4,3,1,0
ADVANCED FUNCTIONAL BRAIN IMG.                     ,COL786,"",4,3,0,2
POWER SYSTEM LAB 2                                 ,ELP871,"",3,0,1,4
DYNAMICS OF THE ATMOSPHERE                         ,ASL734,"",3,3,0,0
NON CONVENTIONAL SOURCES OF ENERGY                 ,ESL340,"",4,3,0,2
INTRODUCTION TO SOCIOLOGY                          ,HUL271,HU,4,3,1,0
MAJOR PROJECT PART II (CES)                        ,CVD758,"",9,0,0,18
NETWORKED AND MULTI AGENT CONT                     ,ELL805,"",3,3,0,0
CONSTRUCTION TECHNOLOGY LABORA                     ,CVP771,"",1.5,0,0,3
NGU: Seminar Course on Multiphase Flows in the Energy Sector ,ESQ310,"",1,0,0,2
